Table 1
Category,Proxy,Unit,£ Value,Evidence,Evidence Match,Research Batch,
Gross Value Added,GVA - Transport General (All tables Global 2021),,,https://www.ons.gov.uk/economy/nationalaccounts/supplyandusetables/datasets/ukinputoutputanalyticaltablesindustrybyindustry/current,Direct UK dataset,1,
Gross Value Added,GVA - Universities (All tables 2021)     Global,,,https://www.ons.gov.uk/economy/nationalaccounts/supplyandusetables/datasets/ukinputoutputanalyticaltablesindustrybyindustry/current,Direct UK dataset,1,
Health & Social Care,Cost avoided from preventing residential care (care at home) —        Global weekly,,,https://www.england.nhs.uk/costing-in-the-nhs/national-cost-collection/,Direct/supporting UK source,1,
Health & Social Care – Cost avoidance,Maintained independence reducing Global future care needs,on per,,https://www.england.nhs.uk/costing-in-the-nhs/national-cost-collection/,Direct/supporting UK source,1,
Health & Social Care – Cost avoided,Average cost of a GP appointment         Global,on per,,https://www.england.nhs.uk/costing-in-the-nhs/national-cost-collection/,Direct/supporting UK source,1,
Health & Wellbeing,Economic value of time for weekly Global formal volunteers (Scotland),nteer,,https://www.england.nhs.uk/costing-in-the-nhs/national-cost-collection/,Direct/supporting UK source,1,
Health & Wellbeing,Impact of homelessness on health and Global wellbeing,on per,,https://www.gov.uk/government/collections/english-housing-survey,Direct/supporting UK source,1,
Health & Wellbeing /app.socialvalueengine.co.uk/proxies - Social Value Engine,Value of arts engagement (weekly         Global,"on per 10 of 103 2026, 17:30",,https://www.gov.uk/government/publications/embedding-a-culture-and-heritage-capital-approach/embedding-a-culture-and-heritage-capital-approach,Direct/supporting UK source,1,
Health & Wellbeing,Value of arts engagement (weekly Global attendance),son per,,https://www.gov.uk/government/publications/embedding-a-culture-and-heritage-capital-approach/embedding-a-culture-and-heritage-capital-approach,Direct/supporting UK source,1,
Household Income Underpinned,Average Income Before Housing Costs Global (2020),of lds,,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,Supporting source family,1,
Improved access and affordability of quality housing,Ability to pay for housing (2020)         Global,of per,,https://www.gov.uk/government/collections/english-housing-survey,Direct/supporting UK source,1,
Improved access and affordability of quality housing,Average annual rent for affordable Global housing (2020),of lds r,,https://www.gov.uk/government/collections/english-housing-survey,Direct/supporting UK source,1,
Improved access and affordability of quality housing,Average monthly private rented house Global cost (2021),of lds th,,https://www.gov.uk/government/collections/english-housing-survey,Direct/supporting UK source,1,
Improved access and affordability of quality housing,Average spend of households on Global housing (2020),of lds r,,https://www.gov.uk/government/collections/english-housing-survey,Direct/supporting UK source,1,
Improved access and affordability of quality housing,Average weekly social housing rent for Global private registered providers (2016),of lds k,,https://www.gov.uk/government/collections/english-housing-survey,Direct/supporting UK source,1,
Improved access and affordability of quality housing,Composite Impact of Factors Detracting Global from Good Quality Housing (2013),of lds r,,https://www.gov.uk/government/collections/english-housing-survey,Direct/supporting UK source,1,
Improved access and affordability of quality housing,Cost of a housing survey (2024)           Global,vey,,https://www.gov.uk/government/collections/english-housing-survey,Direct/supporting UK source,1,
Improved access and affordability of quality housing,Cost of keeping a vacant property Global (2018),of ies per,,https://www.gov.uk/government/collections/english-housing-survey,Direct/supporting UK source,1,
Improved access and affordability of quality housing /app.socialvalueengine.co.uk/proxies - Social Value Engine,"GMCA Housing Benefit - average weekly award, across all tenure types, England   Global (2024)","k Page 11 of 103 /2026, 17:30",,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,Existing evidence link,,
Improved access and affordability of quality housing,"GMCA Local authority social and affordable rental housing stock - Global average weekly rent, England, all stock sizes (2024)",ek,,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,Existing evidence link,,
Improved access and affordability of quality housing,"GMCA Private Registered Provider (PRP) social housing stock - average weekly gross rent for Affordable Rent general Global needs units, England (all stock sizes, data for all PRPs with Affordable Rent stock) (2024)",ek,,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,Existing evidence link,,
Improved access and affordability of quality housing,"GMCA Private Registered Provider (PRP) social housing stock - average weekly net rent across all stock sizes, England (general needs low cost rentals from       Global PRPs with more than 1,000 units / bedspaces, excluding Affordable Rent units) (2024)",ek,,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,Existing evidence link,,
Improved access and affordability of quality housing,"GMCA Private rental property - average monthly rent (mean), England, all          Global property sizes (2024)",nth,,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,Existing evidence link,,
Improved access and affordability of quality housing,"GMCA Social housing - average maintenance and management costs           Global per unit per annum, England (2024)",ar,,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,Existing evidence link,,
Improved access and affordability of quality housing,GMCA Support costs for accommodation based homelessness Global services - median cost across all intensity levels (2024),ek,,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,Existing evidence link,,
Improved access and affordability of quality housing,"GMCA Supported housing (social housing) - average weekly net rent across all stock sizes, England (rentals Global from PRPs with more than 1,000 units / bedspaces, excluding Affordable Rent units) (2024)",ek,96,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,Existing evidence link,,
Improved access and affordability of /app.socialvalueengine.co.uk/proxies - Social Value Engine,Impact of Moving from Rough Sleeping Global to Secure Housing (2015),"of per ge 12 of 103 2026, 17:30",,https://www.gov.uk/government/collections/english-housing-survey,Direct/supporting UK source,1,
Improved access and affordability of quality housing,Impact of Moving from Temporary Accommodation to Settled Housing         Global (2015),of per,,https://www.gov.uk/government/collections/english-housing-survey,Direct/supporting UK source,1,
Improved access and affordability of quality housing,Preventing Evictions (2016)              Global,of per,,https://www.gov.uk/government/collections/english-housing-survey,Direct/supporting UK source,1,
Improved access to affordable energy,Average Fuel Poverty Gap (2016)          Global,of lds r,,https://www.gov.uk/government/collections/fuel-poverty-statistics,Direct UK statistics,1,
Improved access to affordable energy,Cashable benefits from investing in Global renewables (2012),invested,,https://www.gov.uk/government/collections/fuel-poverty-statistics,Direct UK statistics,1,
Improved access to affordable energy,Cost to heat an average household in Global winter,per ld,,https://www.gov.uk/government/collections/fuel-poverty-statistics,Direct UK statistics,1,
Improved access to affordable energy,Expenditure on energy per family per Global year (2017),of s per,,https://www.gov.uk/government/collections/fuel-poverty-statistics,Direct UK statistics,1,
Improved access to community facilities and services,Additional cost of accessing services Global when living in a rural area (2022),of lds,,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,Supporting source family,1,
Improved access to community facilities and services,Average spend on social activities Global (2021),of lds r,,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,Supporting source family,2,
Improved access to community facilities and services,Value of donations to food banks from Global supermarkets (2018),of ns,,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,Supporting source family,2,
community facilities and services,Value of food banks signposting to        Global relevant services (2020),of,,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,Supporting source family,2,
Improved access to community facilities and services,Value of frequent library visits (2014)   Global,of per,,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,Supporting source family,2,
Improved access to community facilities and services,Value of *social impact per return bus trip (concessions pass holder) *the value bus users enjoy from accessing      Global particular services that they would not otherwise have had easy access to”,of bus,,https://www.gov.uk/guidance/transport-analysis-guidance-tag,Direct/supporting UK appraisal source,2,
